intent,link_atau_teks,jenjang,Jalurmasuk,fakultas,prodi,tahun,ket,judul ,pattern,respon
pengumuman_seleksi,https://selma.ub.ac.id/pengumuman-seleksi-mandiri-program-vokasi-d3-dan-d4-2021-menggunakan-nilai-rapor-dan-nilai-utbk/,D3,mandiri_nilai_rapor_dan_nilai_utbk,Vokasi,Umum,2021,link,Pengumuman Seleksi Mandiri Program Vokasi D3 2021 Menggunakan Nilai Rapor dan Nilai UTBK,bagaimana syarat penerimaan mahasiswa baru melalui jalur mandiri program vokasi d3 menggunakan nilai utbk;bagaimana mekanisme pendaftaran menggunakan nilai utbk;berapa biaya pendaftaran seleksi mandiri;bagaimana syarat penerimaan mahasiswa baru melalui jalur mandiri program vokasi d3 menggunakan nilai rapor;bagaimana mekanisme pendaftaran menggunakan nilai rapor,Informasi terkait Pengumuman Seleksi Mandiri Program Vokasi D3 2021 Menggunakan Nilai Rapor dan Nilai UTBK dapat diakses https://selma.ub.ac.id/pengumuman-seleksi-mandiri-program-vokasi-d3-dan-d4-2021-menggunakan-nilai-rapor-dan-nilai-utbk/
pengumuman_seleksi,https://selma.ub.ac.id/pengumuman-seleksi-mandiri-program-vokasi-d3-dan-d4-2021-menggunakan-nilai-rapor-dan-nilai-utbk/,D4,mandiri_nilai_rapor_dan_nilai_utbk,Vokasi,Umum,2021,link,Pengumuman Seleksi Mandiri Program Vokasi D4 2021 Menggunakan Nilai Rapor dan Nilai UTBK,bagaimana syarat penerimaan mahasiswa baru melalui jalur mandiri program vokasi d4 menggunakan nilai utbk;bagaimana mekanisme pendaftaran menggunakan nilai utbk;berapa biaya pendaftaran seleksi mandiri;bagaimana syarat penerimaan mahasiswa baru melalui jalur mandiri program vokasi d4 menggunakan nilai rapor;bagaimana mekanisme pendaftaran menggunakan nilai rapor,Informasi terkait Pengumuman Seleksi Mandiri Program Vokasi D4 2021 Menggunakan Nilai Rapor dan Nilai UTBK dapat diakses https://selma.ub.ac.id/pengumuman-seleksi-mandiri-program-vokasi-d3-dan-d4-2021-menggunakan-nilai-rapor-dan-nilai-utbk/
penetapan_biaya_pendidikan,https://selma.ub.ac.id/penetapan-biaya-pendidikan-proporsional-seleksi-mandiri-program-vokasi-d3-d4-jalur-nilai-rapor-dan-jalur-nilai-utbk-2021/,D3,mandiri_nilai_rapor_dan_nilai_utbk,Vokasi,Umum,2021,link,Penetapan Biaya Pendidikan Proporsional Seleksi Mandiri Program Vokasi D3 Jalur Nilai Rapor dan Jalur Nilai UTBK,bagaimana cara mengetahui biaya pendidikan proporsional bagi calon mahasiswa baru d3 jalur smpv ub;bagaimana tata cara pembayaran biaya pendidikan proporsional bagi calon mahasiswa baru d3 jalur smpv ub;bagaimana cara mengetahui biaya pendidikan proporsional bagi calon mahasiswa baru d3 jalur seleksi mandiri program vokasi;bagaimana tata cara pembayaran biaya pendidikan proporsional bagi calon mahasiswa baru d3 jalur seleksi mandiri program vokasi; ,Informasi terkait Penetapan Biaya Pendidikan Proporsional Seleksi Mandiri Program Vokasi D3 Jalur Nilai Rapor dan Jalur Nilai UTBK dapat diakses https://selma.ub.ac.id/penetapan-biaya-pendidikan-proporsional-seleksi-mandiri-program-vokasi-d3-d4-jalur-nilai-rapor-dan-jalur-nilai-utbk-2021/
penetapan_biaya_pendidikan,https://selma.ub.ac.id/penetapan-biaya-pendidikan-proporsional-seleksi-mandiri-program-vokasi-d3-d4-jalur-nilai-rapor-dan-jalur-nilai-utbk-2021/,D4,mandiri_nilai_rapor_dan_nilai_utbk,Vokasi,Umum,2021,link,Penetapan Biaya Pendidikan Proporsional Seleksi Mandiri Program Vokasi D4 Jalur Nilai Rapor dan Jalur Nilai UTBK,bagaimana cara mengetahui biaya pendidikan proporsional bagi calon mahasiswa baru d4 jalur smpv ub;bagaimana tata cara pembayaran biaya pendidikan proporsional bagi calon mahasiswa baru d4 jalur smpv ub;bagaimana cara mengetahui biaya pendidikan proporsional bagi calon mahasiswa baru d4 jalur seleksi mandiri program vokasi;bagaimana tata cara pembayaran biaya pendidikan proporsional bagi calon mahasiswa baru d4 jalur seleksi mandiri program vokasi; ,Informasi terkait Penetapan Biaya Pendidikan Proporsional Seleksi Mandiri Program Vokasi D4 Jalur Nilai Rapor dan Jalur Nilai UTBK dapat diakses https://selma.ub.ac.id/penetapan-biaya-pendidikan-proporsional-seleksi-mandiri-program-vokasi-d3-d4-jalur-nilai-rapor-dan-jalur-nilai-utbk-2021/
tata_cara_registrasi,https://selma.ub.ac.id/hasil-seleksi-dan-tata-cara-registrasi-daftar-ulang-mahasiswa-baru-program-vokasi-jalur-prestasi-2021/,D3,prestasi,Vokasi,Umum,2021,link,Hasil Seleksi dan Tata Cara Registrasi Daftar Ulang Mahasiswa Baru Program Vokasi D3 Jalur Prestasi,dimana bisa melihat pengumuman penerimaan d3 jalur prestasi;bagaimana tata cara daftar ulang;bagaimana tata cara registrasi;dimana bisa melihat pengumuman penerimaan mahasiswa vokasi jalur prestasi;kapan pengumuman penerimaan mahasiswa keluar,Informasi terkait Hasil Seleksi dan Tata Cara Registrasi Daftar Ulang Mahasiswa Baru Program Vokasi D3 Jalur Prestasi dapat diakses https://selma.ub.ac.id/hasil-seleksi-dan-tata-cara-registrasi-daftar-ulang-mahasiswa-baru-program-vokasi-jalur-prestasi-2021/
tata_cara_registrasi,https://selma.ub.ac.id/hasil-seleksi-dan-tata-cara-registrasi-daftar-ulang-mahasiswa-baru-program-vokasi-jalur-prestasi-2021/,D4,prestasi,Vokasi,Umum,2021,link,Hasil Seleksi dan Tata Cara Registrasi Daftar Ulang Mahasiswa Baru Program Vokasi D4 Jalur Prestasi,dimana bisa melihat pengumuman penerimaan d4 jalur prestasi;bagaimana tata cara daftar ulang;bagaimana tata cara registrasi;dimana bisa melihat pengumuman penerimaan mahasiswa vokasi jalur prestasi;kapan pengumuman penerimaan mahasiswa keluar,Informasi terkait Hasil Seleksi dan Tata Cara Registrasi Daftar Ulang Mahasiswa Baru Program Vokasi D4 Jalur Prestasi dapat diakses https://selma.ub.ac.id/hasil-seleksi-dan-tata-cara-registrasi-daftar-ulang-mahasiswa-baru-program-vokasi-jalur-prestasi-2021/
penetapan_biaya_pendidikan_proporsional,https://selma.ub.ac.id/penetapan-biaya-pendidikan-proporsional-seleksi-mandiri-ub-program-vokasi-diploma-iii-jalur-nilai-rapor-2022/,D3,mandiri_nilai_rapor,Vokasi,Umum,2022,link,Penetapan Biaya Pendidikan Proporsional Seleksi Mandiri Program Vokasi D3 Jalur Nilai Rapor ,dimana dapat melihat pengumuman penetapan biaya pendidikan bagi mahasiswa d3 jalur nilai rapor;bagaimana tata cara daftar ulang bagi mahasiswa d3 jalur nilai rapor;bagaimana tata cara pembayaran biaya pendidikan;dimana dapat melihat pengumuman penetapan biaya pendidikan bagi mahasiswa diploma 3 jalur nilai rapor;bagaimana tata cara daftar ulang bagi mahasiswa diploma 3 jalur nilai rapor;bagaimana tata cara pembayaran biaya pendidikan,Informasi terkait Penetapan Biaya Pendidikan Proporsional Seleksi Mandiri Program Vokasi D3 Jalur Nilai Rapor  dapat diakses https://selma.ub.ac.id/penetapan-biaya-pendidikan-proporsional-seleksi-mandiri-ub-program-vokasi-diploma-iii-jalur-nilai-rapor-2022/
pengumuman_hasil_seleksi,https://selma.ub.ac.id/pengumuman-hasil-seleksi-dan-tata-cara-registrasi-daftar-ulang-mahasiswa-baru-program-vokasi-diploma-iii-jalur-nilai-rapor-2022/,D3,nilai_rapor,Vokasi,Umum,2022,link,Pengumuman Hasil Seleksi dan Tata Cara Registrasi Daftar Ulang Mahasiswa Baru Program Vokasi D3 Jalur Nilai Rapor,dimana bisa melihat pengumuman hasil seleksi mahasiswa d3;bagaimana tata cara registrasi mahasiswa d3; bagaimana tata cara daftar ulang mahasiswa d3;dimana bisa melihat pengumuman hasil seleksi mahasiswa diploma 3;bagaimana tata cara registrasi mahasiswa diploma 3; bagaimana tata cara daftar ulang mahasiswa diploma 3;  ,Informasi terkait Pengumuman Hasil Seleksi dan Tata Cara Registrasi Daftar Ulang Mahasiswa Baru Program Vokasi D3 Jalur Nilai Rapor dapat diakses https://selma.ub.ac.id/pengumuman-hasil-seleksi-dan-tata-cara-registrasi-daftar-ulang-mahasiswa-baru-program-vokasi-diploma-iii-jalur-nilai-rapor-2022/
penerimaan_mahasiswa_baru,https://selma.ub.ac.id/penerimaan-mahasiswa-baru-melalui-jalur-seleksi-mandiri-program-vokasi-diploma-iii-menggunakan-nilai-rapor-gelombang-ii-2022/,D3,mandiri_nilai_rapor,Vokasi,Umum,2022,link,Penerimaan Mahasiswa Baru Melalui Jalur Seleksi Mandiri Program Vokasi D3 Menggunakan Nilai Rapor,apa saja persyaratan untuk mendaftar d3 ub jalur mandiri dengan nilai rapor;berapa biaya pendaftaran seleksi mandiri d3 ub dengan nilai rapor;bagaimana cara pendaftaran seleksi mandiri d3 ub dengan nilai rapor;apa saja persyaratan untuk mendaftar diploma 3 ub jalur mandiri dengan nilai rapor;berapa biaya pendaftaran seleksi mandiri diploma 3 ub dengan nilai rapor;bagaimana cara pendaftaran seleksi mandiri diploma 3 ub dengan nilai rapor,Informasi terkait Penerimaan Mahasiswa Baru Melalui Jalur Seleksi Mandiri Program Vokasi D3 Menggunakan Nilai Rapor dapat diakses https://selma.ub.ac.id/penerimaan-mahasiswa-baru-melalui-jalur-seleksi-mandiri-program-vokasi-diploma-iii-menggunakan-nilai-rapor-gelombang-ii-2022/
penetapan_ukt,https://selma.ub.ac.id/penetapan-uang-kuliah-tunggal-ukt-jenjang-diploma-iii-jalur-prestasi-program-pendidikan-vokasi-2021-2022/,D3,prestasi,Vokasi,Umum,2021,link,Penetapan Uang Kuliah Tunggal UKT Jenjang D3 Jalur Prestasi Program Vokasi,berapa uang kuliah di ub untuk d3 jalur prestasi;berapa uang pendidikan d3 jalur prestasi di ub;berapa spp d3 jalur prestasi di ub;berapa ukt d3 universitas brawijaya;bagaimana tata cara pembayaran ukt d3,Informasi terkait Penetapan Uang Kuliah Tunggal UKT Jenjang D3 Jalur Prestasi Program Vokasi dapat diakses https://selma.ub.ac.id/penetapan-uang-kuliah-tunggal-ukt-jenjang-diploma-iii-jalur-prestasi-program-pendidikan-vokasi-2021-2022/
biaya_pendidikan,https://selma.ub.ac.id/biaya-pendidikan-program-vokasi-jalur-mandiri-2021/,D3,mandiri,Vokasi,Umum,2021,link,Biaya Pendidikan Program Vokasi D3 Jalur Mandiri,berapa biaya uang kuliah mahasiswa d3 jalur mandiri;berapa ukt mahasiswa d3 jalur mandiri;berapa ipi mahasiswa d3 jalur mandiri;berapa uang pangkal mahasiswa d3 jalur mandiri,Informasi terkait Biaya Pendidikan Program Vokasi D3 Jalur Mandiri dapat diakses https://selma.ub.ac.id/biaya-pendidikan-program-vokasi-jalur-mandiri-2021/
biaya_pendidikan,https://selma.ub.ac.id/biaya-pendidikan-program-vokasi-jalur-mandiri-2021/,D4,mandiri,Vokasi,Umum,2021,link,Biaya Pendidikan Program Vokasi D4 Jalur Mandiri,berapa biaya uang kuliah mahasiswa d4 jalur mandiri;berapa ukt mahasiswa d4 jalur mandiri;berapa ipi mahasiswa d4 jalur mandiri;berapa uang pangkal mahasiswa d4 jalur mandiri,Informasi terkait Biaya Pendidikan Program Vokasi D4 Jalur Mandiri dapat diakses https://selma.ub.ac.id/biaya-pendidikan-program-vokasi-jalur-mandiri-2021/
penerimaan_mahasiswa_baru,https://selma.ub.ac.id/penerimaan-mahasiswa-baru-jalur-prestasi-jenjang-ahli-madya-diploma-iii-program-pendidikan-vokasi-2021-2022/,D3,prestasi,Vokasi,Umum,2021,link,Penerimaan Mahasiswa Baru Jalur Prestasi Jenjang D3 ,apa saja persyaratan untuk mendaftar d3 ub jalur prestasi;bagaimana jadwal penerimaan mahasiswa d3 ub jalur prestasi;bagaimana tata cara pendaftaran d3 ub jalur prestasi;berapa biaya pendaftaran seleksi d3 ub jalur prestasi,Informasi terkait Penerimaan Mahasiswa Baru Jalur Prestasi Jenjang D3  dapat diakses https://selma.ub.ac.id/penerimaan-mahasiswa-baru-jalur-prestasi-jenjang-ahli-madya-diploma-iii-program-pendidikan-vokasi-2021-2022/
unggah_kelengkapan_berkas_registrasi,https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/,D3,prestasi,Vokasi,Umum,2020,link,Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D3 SMPV Jalur Prestasi,bagaimana cara mengunggah berkas registrasi mahasiswa baru d3 jalur prestasi;berkas apa saja yang wajib diunggah mahasiswa baru d3 jalur prestasi;dimana mahasiswa baru d3 jalur prestasi dapat mengunggah berkas,Informasi terkait Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D3 SMPV Jalur Prestasi dapat diakses https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/
unggah_kelengkapan_berkas_registrasi,https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/,D3,smub,Vokasi,Umum,2020,link,Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D3 SMPV Jalur SMUB,bagaimana cara mengunggah berkas registrasi mahasiswa baru d3 jalur smub;berkas apa saja yang wajib diunggah mahasiswa baru d3 jalur smub;dimana mahasiswa baru d3 jalur smub dapat mengunggah berkas;bagaimana cara mengunggah berkas registrasi mahasiswa baru d3 jalur seleksi mandiri ub;berkas apa saja yang wajib diunggah mahasiswa baru d3 jalur seleksi mandiri ub;dimana mahasiswa baru d3 jalur seleksi mandiri ub dapat mengunggah berkas,Informasi terkait Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D3 SMPV Jalur SMUB dapat diakses https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/
unggah_kelengkapan_berkas_registrasi,https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/,D3,smpd_ub,Vokasi,Umum,2020,link,Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D4 SMPV Jalur SMPD UB,bagaimana cara mengunggah berkas registrasi mahasiswa baru d3 jalur smpd;berkas apa saja yang wajib diunggah mahasiswa baru d3 jalur smpd;dimana mahasiswa baru d3 jalur smpd dapat mengunggah berkas;bagaimana cara mengunggah berkas registrasi mahasiswa baru d3 jalur seleksi mandiri program disabilitas ub;berkas apa saja yang wajib diunggah mahasiswa baru d3 jalur seleksi mandiri program disabilitas ub;dimana mahasiswa baru d3 jalur seleksi mandiri program disabilitas dapat mengunggah berkas,Informasi terkait Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D4 SMPV Jalur SMPD UB dapat diakses https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/
unggah_kelengkapan_berkas_registrasi,https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/,D4,prestasi,Vokasi,Umum,2020,link,Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D4 SMPV Jalur Prestasi,bagaimana cara mengunggah berkas registrasi mahasiswa baru d4 jalur prestasi;berkas apa saja yang wajib diunggah mahasiswa baru d4 jalur prestasi;dimana mahasiswa baru d4 jalur prestasi dapat mengunggah berkas,Informasi terkait Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D4 SMPV Jalur Prestasi dapat diakses https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/
unggah_kelengkapan_berkas_registrasi,https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/,D4,smub,Vokasi,Umum,2020,link,Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D4 SMPV Jalur SMUB,bagaimana cara mengunggah berkas registrasi mahasiswa baru d4 jalur smub;berkas apa saja yang wajib diunggah mahasiswa baru d4 jalur smub;dimana mahasiswa baru d4 jalur smub dapat mengunggah berkas;bagaimana cara mengunggah berkas registrasi mahasiswa baru d4 jalur seleksi mandiri ub;berkas apa saja yang wajib diunggah mahasiswa baru d4 jalur seleksi mandiri ub;dimana mahasiswa baru d4 jalur seleksi mandiri ub dapat mengunggah berkas,Informasi terkait Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D4 SMPV Jalur SMUB dapat diakses https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/
unggah_kelengkapan_berkas_registrasi,https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/,D4,smpd_ub,Vokasi,Umum,2020,link,Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D3 SMPV Jalur SMPD UB,bagaimana cara mengunggah berkas registrasi mahasiswa baru d4 jalur smpd;berkas apa saja yang wajib diunggah mahasiswa baru d4 jalur smpd;dimana mahasiswa baru d4 jalur smpd dapat mengunggah berkas;bagaimana cara mengunggah berkas registrasi mahasiswa baru d4 jalur seleksi mandiri program disabilitas;berkas apa saja yang wajib diunggah mahasiswa baru d4 jalur seleksi mandiri program disabilitas;dimana mahasiswa baru d4 jalur seleksi mandiri program disabilitas dapat mengunggah berkas,Informasi terkait Tata Cara Unggah Kelengkapan Berkas Registrasi Daftar Ulang Mahasiswa Baru D3 SMPV Jalur SMPD UB dapat diakses https://selma.ub.ac.id/tata-cara-unggah-kelengkapan-berkas-registrasi-daftar-ulang-mahasiswa-baru-smpv-jalur-prestasi-smub-dan-smpd-ub-2020/